,City,Cloud Cover,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,berlevag,92,100,76,30,47.74100000000001,3.58
1,norman wells,40,36,70,-121,46.4,7.2
2,rikitea,12,99,-50,-140,74.47100000000006,6.03
3,san cristobal,92,100,-1,-88,62.681000000000026,0.68
4,aripuana,12,65,-9,-59,84.10100000000008,1.33
5,banda aceh,0,98,2,90,74.47100000000006,1.23
6,punta arenas,75,75,-54,-72,46.4,10.8
7,pacifica,40,63,36,-127,71.78000000000004,11.8
8,basco,64,98,21,125,84.10100000000008,13.68
9,leningradskiy,88,88,68,179,44.681000000000026,4.33
10,saskylakh,0,83,90,112,33.52100000000005,2.23
11,mahebourg,75,88,-28,64,69.80000000000001,3.1
12,khatanga,56,96,81,107,38.29100000000001,5.33
13,busselton,56,100,-76,85,57.281000000000034,10.88
14,east london,0,100,-61,49,64.75100000000009,6.18
15,hithadhoo,80,99,-21,84,84.28100000000003,7.53
16,bambanglipuro,92,94,-17,108,69.88100000000003,1.73
17,aklavik,40,69,70,-141,34.556000000000026,5.7
18,hermanus,32,79,-60,16,51.971000000000046,3.68
19,cape town,75,82,-46,8,57.2,5.1
20,meylan,75,72,45,6,70.75400000000005,3.1
21,saurimo,20,91,-10,19,63.401000000000096,1.43
22,ushuaia,40,80,-61,-52,43.538000000000046,6.7
23,kudahuvadhoo,64,100,3,69,78.34100000000001,4.98
24,sistranda,20,87,66,8,46.4,3.1
25,sheridan,20,2,46,-107,92.39000000000001,8.2
26,broome,40,100,-22,125,71.6,2.1
27,port alfred,0,91,-53,37,61.87100000000005,5.63
28,vaini,75,64,-32,-171,75.2,7.2
29,tilichiki,92,100,59,172,47.83100000000003,2.68
30,turiacu,8,89,-1,-45,80.23100000000002,1.03
31,yellowknife,75,48,77,-111,39.2,4.6
32,cherskiy,20,69,70,164,41.98100000000003,1.98
33,new norfolk,75,55,-55,137,60.8,6.7
34,bristol,1,61,37,-82,78.674,4.6
35,pevek,80,87,69,170,48.55100000000009,2.43
36,petropavlovsk-kamchatskiy,0,66,52,158,51.8,3.0
37,butaritari,88,100,23,174,84.82100000000005,6.13
38,cap malheureux,75,88,-14,58,69.80000000000001,3.1
39,bredasdorp,48,76,-84,23,50.0,2.6
40,faanui,0,100,-11,-152,80.0510000000001,4.38
41,albany,92,67,-80,101,53.05100000000009,10.78
42,saint-philippe,0,59,-33,58,67.15400000000005,3.1
43,roald,92,76,69,2,50.75600000000003,6.2
44,chumikan,92,100,56,134,49.00100000000009,3.93
45,korla,8,88,39,86,38.92100000000005,0.63
46,bambous virieux,75,88,-27,67,69.80000000000001,3.1
47,tual,64,97,-8,134,80.50100000000009,6.58
48,lebu,0,100,-38,-93,51.70100000000009,10.18
49,calvinia,0,73,-31,20,30.73100000000003,1.18
50,bluff,12,89,-56,166,53.861000000000075,11.43
51,puerto ayora,75,69,-26,-101,75.2,6.7
52,teya,80,82,60,92,27.85100000000009,1.23
53,nantucket,75,93,40,-69,66.66800000000009,3.6
54,hilo,75,72,14,-141,72.66200000000006,5.7
55,walvis bay,0,100,-24,9,56.111000000000075,4.23
56,santa rita,0,78,-7,-35,73.4,3.6
57,alofi,92,100,-19,-168,73.3010000000001,9.38
58,arman,40,100,57,148,41.0,2.0
59,cabo san lucas,75,70,20,-112,86.95400000000006,2.6
60,qaanaaq,0,100,74,-87,25.781000000000027,2.53
61,arraial do cabo,20,68,-27,-38,68.0,6.2
62,berbera,44,63,11,47,76.36100000000008,1.23
63,prince rupert,1,44,55,-130,59.0,2.1
64,katsuura,75,94,29,147,72.26600000000002,2.6
65,tiksi,0,94,80,129,36.40100000000009,1.28
66,koslan,92,98,65,50,49.81100000000007,3.03
67,taunggyi,76,96,21,97,67.72100000000006,1.18
68,luderitz,0,89,-26,15,51.52100000000005,6.78
69,fairbanks,75,49,72,-144,60.71000000000008,2.1
70,port hardy,75,67,46,-133,57.2,1.0
71,kapaa,90,93,23,-176,80.78000000000004,8.7
72,barrow,1,57,75,-151,83.46200000000006,2.13
73,victoria,92,88,-6,65,77.0,4.6
74,ponta do sol,92,100,23,-43,76.27100000000004,3.28
75,san andres,75,88,13,-82,78.80000000000001,4.1
76,hofn,88,100,58,-16,45.04100000000001,4.23
77,bonavista,0,96,52,-52,56.651000000000096,3.48
78,rawson,0,43,-44,-63,51.25100000000009,1.43
79,iqaluit,20,64,58,-71,37.4,8.2
80,vangaindrano,76,100,-24,48,62.321000000000055,1.23
81,touros,8,81,-4,-33,75.82100000000005,9.18
82,samarai,76,95,-11,151,79.1510000000001,7.48
83,mareeba,20,57,-14,143,77.0,5.7
84,rzhaksa,92,59,52,42,67.27100000000004,2.53
85,talcahuano,0,76,-36,-75,53.6,6.7
86,kodiak,75,69,41,-160,80.9600000000001,4.6
87,chifeng,64,86,44,118,63.401000000000096,1.63
88,tiruchchendur,0,91,8,79,76.81100000000006,2.78
89,alta floresta,75,65,-9,-55,82.4,2.1
90,longyearbyen,75,74,85,18,33.8,2.1
91,mar del plata,80,45,-44,-54,59.80100000000009,10.03
92,hambantota,76,100,0,84,79.42100000000005,3.88
93,lagoa,0,83,50,-25,69.80000000000001,5.1
94,jamestown,56,100,-14,-8,67.18100000000004,5.18
95,gushikawa,40,74,23,133,82.184,3.6
96,avarua,90,78,-19,-158,71.6,3.1
97,raton,1,2,37,-104,88.08800000000005,7.2
98,dikson,88,100,89,76,38.38100000000003,8.83
99,comodoro rivadavia,0,39,-46,-67,62.6,8.2
100,torbay,90,100,47,-46,53.6,2.1
101,montanha,48,67,-18,-40,69.88100000000003,4.23
102,cayenne,0,88,10,-49,80.6,3.6
103,antalaha,48,90,-15,51,68.441,3.78
104,dongsheng,20,76,40,109,77.17100000000005,2.68
105,geraldton,5,53,55,-89,73.4,7.7
106,funadhoo,80,100,6,73,83.6510000000001,4.08
107,tshikapa,36,97,-6,21,69.70100000000009,0.88
108,namibe,76,100,-18,9,64.84100000000001,0.93
109,gigmoto,100,100,15,126,76.45100000000009,12.33
110,liwale,0,82,-9,38,67.36100000000008,2.43
111,butia,0,53,-30,-52,79.07000000000006,2.1
112,castro,0,100,-49,-93,43.42100000000005,1.53
113,sao joao da barra,75,64,-32,-22,71.6,5.1
114,ilhabela,0,95,-26,-44,69.88100000000003,7.23
115,ayorou,20,52,16,2,75.73100000000002,1.78
116,sisimiut,80,100,66,-58,34.78100000000003,0.83
117,carnarvon,0,100,-27,100,60.971000000000046,10.88
118,atuona,0,98,5,-138,80.0510000000001,7.73
119,szalkszentmarton,0,87,47,19,60.8,0.5
120,varzea da palma,56,41,-18,-45,80.14100000000002,5.28
121,esperance,44,59,-33,125,53.141000000000005,9.38
122,saint-pierre,0,59,-25,53,67.208,3.1
123,nyurba,0,75,66,116,37.12100000000005,1.68
124,quelimane,20,94,-20,39,71.6,1.5
125,isaka,0,54,-4,33,65.38100000000003,4.03
126,edd,0,56,13,42,70.06100000000006,0.43
127,yar-sale,92,100,77,70,48.281000000000034,5.73
128,port blair,44,100,12,89,81.67100000000005,7.23
129,tabou,68,100,2,-7,77.26100000000008,3.33
130,taunton,20,93,51,-3,50.91800000000009,1.0
131,komsomolskiy,92,97,75,175,44.50100000000009,2.83
132,upernavik,12,100,71,-58,35.95100000000009,1.98
133,granada,20,49,12,-86,88.37600000000009,5.1
134,kieta,92,100,-2,160,73.75100000000009,1.33
135,blankenberge,0,93,52,3,48.88399999999999,1.5
136,ilulissat,0,80,76,-44,30.2,1.08
137,saiki,75,100,33,132,75.2,5.1
138,caravelas,0,100,-19,-32,73.84100000000001,6.58
139,vao,64,97,-28,167,71.77100000000004,7.48
140,santa maria,40,78,19,-22,78.80000000000001,2.6
141,zemio,64,91,5,25,65.6510000000001,1.13
142,ajaccio,0,88,42,9,66.2,2.1
143,otjimbingwe,0,79,-23,16,50.62100000000005,1.18
144,alice springs,0,16,-25,134,75.2,3.6
145,mackay,0,82,-19,153,66.2,3.6
146,chokurdakh,88,98,76,154,37.75100000000009,6.48
147,longonjo,0,79,-13,15,48.821000000000055,1.08
148,villa carlos paz,20,93,-30,-65,57.2,2.1
149,grootfontein,0,54,-20,19,50.98100000000003,1.23
150,kununurra,0,53,-14,127,75.2,2.58
151,oistins,40,83,11,-55,80.6,8.2
152,tikrit,0,23,35,44,83.47100000000006,4.73
153,aitape,64,95,-1,143,81.31100000000006,2.43
154,naze,40,83,20,138,82.4,4.6
155,stolac,0,72,43,18,70.34000000000003,1.0
156,narsaq,92,60,82,-67,42.8,3.6
157,byron bay,40,60,-28,158,71.6,4.6
158,suba,92,100,10,121,79.42100000000005,8.98
159,saint-augustin,5,88,54,-61,71.69000000000003,1.68
160,arroyo,90,84,16,-66,73.72400000000002,2.6
161,pangnirtung,75,69,62,-64,35.6,4.1
162,los llanos de aridane,12,88,26,-20,75.2,3.1
163,gibara,75,83,21,-76,80.6,2.1
164,te anau,32,78,-38,163,51.25100000000009,4.58
165,sao filipe,92,100,13,-35,76.9010000000001,2.38
166,chuy,76,95,-59,-25,57.91100000000007,4.68
167,manokwari,64,100,1,135,82.39100000000002,0.28
168,flinders,0,67,-35,132,60.8,3.6
169,chapada dos guimaraes,0,31,-15,-55,89.6,3.6
170,rorvik,64,100,66,11,48.10100000000009,2.08
171,reconquista,88,81,-29,-60,67.27100000000004,1.98
172,tuktoyaktuk,75,79,90,-118,28.4,4.6
173,inhambane,0,100,-22,37,68.35100000000008,5.58
174,nikolskoye,0,93,47,174,50.0,4.0
175,thompson,90,76,74,-93,53.6,1.0
176,axim,92,98,-1,-2,77.26100000000008,4.53
177,vredendal,12,87,-32,19,38.74100000000001,1.08
178,saint george,75,78,30,-61,82.4,2.6
179,tasiilaq,92,86,62,-34,39.2,3.1
180,sola,76,91,-12,169,81.67100000000005,5.13
181,acapulco,75,74,12,-102,84.2,2.1
182,ancud,24,89,-42,-76,45.85100000000009,1.88
183,itoman,40,74,19,131,81.98600000000008,3.6
184,lompoc,1,49,22,-134,74.984,7.7
185,great falls,1,36,47,-111,64.94000000000003,3.6
186,sarakhs,0,40,37,61,68.0,7.2
187,nurota,0,28,42,65,57.2,2.1
188,hobart,75,55,-67,152,60.8,6.7
189,tautira,20,66,-18,-148,84.2,5.7
190,chapais,1,68,49,-75,71.6,2.1
191,tigil,12,65,60,157,51.071000000000055,4.38
192,miles city,1,30,46,-106,75.02000000000007,2.6
193,pampa,1,33,35,-101,90.26600000000002,10.3
194,urusha,44,98,54,123,47.74100000000001,1.58
195,xining,92,100,33,99,42.88100000000003,1.53
196,smithers,75,23,60,-128,51.8,2.1
197,luwuk,20,83,-2,125,79.78100000000003,3.13
198,charagua,75,47,-19,-62,78.80000000000001,3.1
199,vila velha,0,74,-21,-36,78.80000000000001,5.1
200,juneau,75,52,59,-136,57.056000000000026,5.7
201,sennoy,92,43,52,47,68.98100000000002,3.48
202,rundu,0,36,-17,20,55.30100000000009,1.63
203,eyl,0,91,6,54,75.01100000000008,9.38
204,hovd,0,81,44,100,24.52100000000005,2.08
205,deputatskiy,0,69,71,143,37.57100000000005,2.08
206,birao,68,99,11,25,68.35100000000008,0.98
207,ulladulla,0,67,-37,154,60.8,3.6
208,batemans bay,0,76,-39,152,61.241000000000014,1.78
209,panama city,20,87,27,-86,77.39600000000004,3.18
210,okhotsk,0,89,59,144,50.35100000000009,1.93
211,viedma,0,36,-41,-64,55.84100000000001,3.93
212,milton,0,62,-46,170,58.81100000000007,8.53
213,jaguarao,76,89,-33,-53,61.96100000000007,4.13
214,puno,40,13,-16,-70,55.400000000000006,3.6
215,kushiro,75,93,42,144,64.4,1.5
216,road town,40,79,24,-64,84.59600000000006,4.6
217,agua verde,75,70,22,-107,87.80000000000001,5.1
218,kamenka,88,78,66,44,63.04100000000001,3.18
219,erzin,0,71,49,95,16.15100000000009,0.98
220,port hedland,0,49,-22,120,68.0,1.5
221,niteroi,0,77,-23,-43,69.80000000000001,3.6
222,ahipara,56,89,-33,165,56.20100000000009,3.33
223,shingu,75,88,25,140,75.2,1.5
224,colomi,20,34,-17,-66,68.0,4.1
225,oktyabrskoye,68,77,54,63,51.071000000000055,4.53
226,luanda,12,83,-11,7,69.80000000000001,1.5
227,tateyama,75,94,31,141,69.80000000000001,0.5
228,kahului,40,69,25,-154,82.58000000000004,9.8
229,pacific grove,1,56,27,-133,71.16800000000009,4.1
230,ngunguru,24,100,-33,177,57.10100000000009,4.33
231,qom,0,49,35,51,63.04100000000001,2.38
232,zalesovo,68,77,54,85,46.03100000000003,6.13
233,coihaique,75,76,-49,-75,47.21000000000008,3.1
234,vetluga,0,58,58,46,55.66100000000007,4.18
235,henties bay,0,100,-25,3,52.87100000000005,2.38
236,tutoia,0,59,0,-42,82.12100000000005,8.08
237,beirut,75,65,34,35,80.6,2.1
238,provideniya,90,87,43,-176,48.2,6.0
239,nicoya,0,78,6,-88,82.4,3.6
240,wilmington,90,94,33,-77,73.59800000000003,5.83
241,ilebo,0,89,-3,21,71.86100000000008,0.88
242,talaya,68,68,60,154,51.88100000000003,7.28
243,bintulu,75,94,5,111,75.2,1.5
244,guerrero negro,0,66,14,-129,78.97100000000006,5.28
245,nome,1,72,63,-164,80.22200000000004,4.1
246,port elizabeth,0,76,-87,32,57.2,4.6
247,haines junction,88,70,58,-140,45.31100000000007,2.08
248,nanortalik,92,98,52,-38,38.65100000000009,1.03
249,sobolevo,88,90,54,157,50.80100000000009,1.28
250,iberia,36,93,-11,-70,77.98100000000002,0.98
251,karratha,0,29,-19,117,72.67100000000005,1.63
252,jishu,8,94,44,127,65.74100000000001,3.23
253,ibra,0,93,21,58,66.37100000000005,0.43
254,black forest,1,3,39,-104,86.48600000000008,6.2
255,puri,40,88,18,87,80.6,4.33
256,lappeenranta,0,87,61,28,44.6,1.5
257,beloha,0,72,-31,41,57.91100000000007,1.78
258,valer,0,71,61,12,49.63100000000003,3.23
259,derbent,0,75,43,49,56.29100000000001,1.38
260,honiara,20,74,-12,159,86.0,7.7
261,puerto narino,75,94,-4,-71,78.80000000000001,1.5
262,kamaishi,75,88,36,147,69.80000000000001,0.5
263,benguela,12,100,-12,10,66.28100000000003,1.58
264,aktash,0,68,50,88,10.75100000000009,0.98
265,padang,92,100,-5,91,75.28100000000003,0.83
266,harpanahalli,8,92,15,76,68.89100000000002,3.03
267,bathsheba,40,83,20,-49,80.6,8.2
268,kiama,0,67,-35,152,60.8,3.6
269,lorengau,36,100,2,145,82.21100000000007,4.58
270,praia da vitoria,20,83,46,-25,73.4,4.08
271,kruisfontein,0,95,-62,27,58.63100000000003,6.48
272,mount darwin,0,59,-16,32,63.58100000000003,2.68
273,brewster,90,93,42,-68,67.11800000000008,2.6
274,meybod,0,25,32,54,77.0,4.1
275,ruteng,0,76,-8,120,74.11100000000008,1.78
276,georgetown,92,100,-13,-20,76.00100000000009,6.53
277,vardo,92,100,75,33,49.63100000000003,2.08
278,balikpapan,8,96,-2,117,82.39100000000002,5.28
279,corralillo,68,90,24,-80,79.87100000000005,2.13
280,nago,40,74,28,127,81.608,3.6
281,muriwai beach,32,71,-37,174,57.2,6.2
282,gairo,8,93,-6,37,56.02100000000005,1.73
283,namatanai,48,100,3,159,79.42100000000005,1.38
284,igrim,20,90,64,65,48.46100000000007,4.08
285,kloulklubed,75,74,8,133,82.4,5.1
286,baykit,88,94,65,94,30.55100000000009,1.28
287,bilibino,88,67,69,168,43.87100000000005,1.38
288,severo-kurilsk,0,88,42,158,54.221000000000046,1.88
289,tomatlan,88,91,20,-105,78.07100000000005,1.53
290,maniitsoq,88,99,62,-58,38.83100000000003,1.88
291,magadan,40,100,59,151,41.0,2.0
292,omsukchan,0,60,65,156,38.11100000000007,2.48
293,solenzo,44,96,12,-4,69.25100000000009,1.33
294,ust-maya,92,81,60,134,41.44100000000001,2.58
295,herat,0,43,35,63,57.91100000000007,3.68
296,imuris,24,21,31,-111,94.9010000000001,2.13
297,santa isabel do rio negro,20,82,0,-65,82.12100000000005,0.98
298,meulaboh,24,100,-1,90,78.07100000000005,1.53
299,ribeira grande,88,100,38,-32,73.75100000000009,5.28
300,alekseyevsk,48,79,58,110,38.38100000000003,1.63
301,hay river,75,45,61,-116,46.4,3.6
302,takoradi,92,97,-1,0,76.27100000000004,3.03
303,eyemouth,76,82,56,-2,55.400000000000006,2.1
304,kizhinga,68,75,52,110,35.141000000000005,3.93
305,hong gai,32,100,21,107,75.37100000000005,1.98
306,kisangani,32,100,-1,26,68.62100000000005,1.23
307,fukue,75,94,32,127,69.80000000000001,1.5
308,evensk,0,99,62,158,49.09100000000001,3.78
309,tyukhtet,92,96,57,89,47.74100000000001,7.13
310,mineral wells,1,51,33,-98,85.65800000000002,3.6
311,constitucion,90,82,23,-116,64.4,5.7
312,kathmandu,75,100,31,86,68.0,1.08
313,yanam,80,86,15,84,78.25100000000009,2.43
314,aksarka,92,98,68,68,44.681000000000026,2.63
315,huilong,100,100,34,125,64.12100000000005,1.78
316,vilyuysk,92,84,65,122,37.84100000000001,2.13
317,half moon bay,20,77,29,-138,70.43000000000004,5.7
318,beringovskiy,92,99,54,177,51.25100000000009,7.83
319,belyy yar,40,70,60,86,48.2,5.0
320,kaitangata,0,62,-71,177,58.81100000000007,8.53
321,manono,32,94,-8,28,67.09100000000001,1.08
322,saint-francois,75,83,20,-53,80.6,6.2
323,biak,20,83,-1,136,79.78100000000003,3.13
324,rio grande,76,90,-32,-52,62.41100000000007,2.43
325,borogontsy,36,71,64,131,41.891000000000005,2.03
326,antofagasta,75,67,-23,-77,57.2,6.2
327,porto santo,75,78,32,-15,71.6,4.1
328,tarija,90,72,-22,-65,59.0,3.1
329,belaya gora,92,98,68,149,37.75100000000009,5.18
330,tiznit,0,95,29,-9,67.27100000000004,1.43
331,kavaratti,80,100,14,66,80.95100000000009,2.53
332,itupiranga,0,88,-5,-50,78.80000000000001,1.5
333,umm kaddadah,56,72,13,27,75.191,1.63
334,miri,75,88,7,111,77.0,2.6
335,jaciara,64,59,-14,-54,81.04100000000001,1.18
336,ericeira,0,77,39,-10,68.03600000000007,3.1
337,chokwe,0,56,-24,33,66.64100000000002,3.88
338,dodge city,1,46,37,-100,87.74600000000005,9.8
339,sao sebastiao,36,79,-26,-45,81.76100000000008,1.38
340,vega de alatorre,80,98,22,-94,75.91100000000007,1.33
341,kiruna,88,87,66,19,42.8,1.0
342,grindavik,0,75,59,-25,42.8,7.2
343,halmeu,48,87,48,23,59.93600000000007,1.0
344,cartagena,76,83,37,-1,75.2,2.1
345,big rapids,90,70,44,-86,71.94200000000001,3.6
346,mao,32,75,14,14,75.28100000000003,1.28
347,ouesso,56,86,1,16,74.92100000000005,1.48
348,brownsville,75,88,26,-97,85.02800000000008,2.6
349,bandiagara,0,89,14,-3,73.75100000000009,1.23
350,wrexham,0,82,53,-3,54.82400000000001,4.1
351,araguaina,68,66,-8,-48,78.70100000000009,1.33
352,neuquen,0,39,-41,-69,64.4,1.33
353,lensk,92,100,61,116,37.12100000000005,1.83
354,dhidhdhoo,88,100,8,70,83.74100000000001,3.78
355,zhigansk,64,94,70,121,36.94100000000001,1.43
356,bajos de haina,75,100,18,-70,76.22600000000008,2.1
357,niksic,0,82,43,19,68.684,0.5
358,roebourne,0,29,-23,118,72.67100000000005,1.63
359,pisco,0,30,-19,-83,71.6,7.2
360,arivonimamo,75,88,-19,47,62.6,3.1
361,san patricio,40,70,11,-113,89.6,5.1
362,sovetskiy,0,68,68,65,52.42100000000005,6.03
363,isla vista,1,34,32,-121,76.26200000000006,4.1
364,college,75,49,73,-148,60.69199999999999,2.1
365,mehamn,92,100,81,28,47.20100000000009,4.08
366,arlit,0,17,19,8,82.3010000000001,4.03
367,talnakh,36,94,79,92,34.15100000000009,5.13
368,kushima,75,94,29,133,73.184,1.5
369,ewo,48,96,0,15,69.34100000000001,1.33
370,shenzhen,20,83,20,115,81.19400000000007,1.0
371,andrushivka,64,90,50,29,58.181000000000026,1.28
372,inndyr,20,100,67,14,48.2,5.1
373,lavrentiya,68,100,68,-173,48.10100000000009,5.93
374,nalut,12,60,29,11,72.58100000000003,3.38
375,kirovskaya,0,58,47,40,59.35100000000009,2.58
376,kungurtug,0,67,51,97,11.47100000000005,1.23
377,wainwright,92,92,53,-111,37.57100000000005,2.98
378,fare,76,99,-12,-149,80.14100000000002,4.03
379,itarema,0,72,9,-36,77.53100000000003,7.28
380,brae,88,76,65,0,51.026000000000096,8.7
381,ayutla,88,88,17,-99,69.88100000000003,1.28
382,chatra,32,92,24,85,74.47100000000006,3.03
383,machilipatnam,32,95,15,82,78.79100000000001,3.68
384,san policarpo,92,100,16,133,79.06100000000006,11.13
385,whitehorse,40,81,63,-132,48.2,4.6
386,ambon,75,94,-7,129,75.2,2.6
387,ketchikan,1,40,55,-133,58.33399999999999,4.1
388,kosum phisai,40,94,16,103,77.0,1.5
389,cabedelo,0,78,-6,-33,73.4,3.6
390,maceio,0,73,-12,-33,73.4,1.5
391,uruzgan,0,75,33,67,32.44100000000001,0.88
392,poletayevo,40,55,55,61,64.4,7.0
393,montrose,1,3,38,-108,82.36400000000003,6.7
394,waddan,0,59,30,16,68.89100000000002,3.28
395,moses lake,1,25,47,-119,71.9600000000001,5.1
396,saldanha,0,93,-43,-2,48.2,0.5
397,alakurtti,88,99,67,30,48.37100000000005,1.23
398,paamiut,92,100,56,-51,39.01100000000007,3.88
399,at-bashi,76,100,41,76,37.12100000000005,1.08
400,shache,92,49,38,80,57.73100000000003,3.53
401,gympie,0,52,-26,153,71.77100000000004,1.48
402,brainerd,90,78,47,-94,74.62400000000002,7.63
403,billings,75,33,47,-108,69.98000000000005,7.2
404,diego de almagro,0,85,-26,-70,52.241000000000014,1.18
405,asyut,0,47,25,27,77.0,2.1
406,hearst,0,49,49,-84,72.941,4.13
407,sao gabriel da cachoeira,36,95,-1,-68,78.52100000000004,0.88
408,zhaozhou,0,82,46,125,64.84100000000001,0.78
409,klaksvik,76,87,63,-5,46.4,1.0
410,hualmay,24,85,-22,-95,61.96100000000007,2.28
411,chicama,90,88,-14,-89,62.6,4.1
412,port shepstone,88,92,-35,37,62.50100000000009,1.38
413,labuhan,0,80,-23,92,74.47100000000006,1.43
414,seoul,0,73,38,128,69.38600000000008,1.5
415,nemuro,68,92,40,147,62.861000000000075,8.83
416,charters towers,0,77,-23,145,71.0510000000001,2.78
417,soyo,76,93,-8,8,70.78100000000003,1.63
418,muroto,75,94,31,135,73.4,2.6
419,moose factory,1,65,58,-76,77.0,3.6
420,pontes e lacerda,24,76,-15,-60,77.35100000000008,1.18
421,sokode,20,96,9,1,71.95100000000009,2.28
422,hami,0,66,41,93,39.19100000000001,1.98
423,sabathu,64,89,31,77,64.12100000000005,1.18
424,severo-yeniseyskiy,8,89,61,93,30.10100000000009,1.08
425,peachland,90,62,50,-120,55.90400000000005,9.8
426,assare,48,33,-7,-40,83.20100000000009,4.28
427,rocha,88,92,-46,-44,57.821000000000055,3.68
428,fourmies,20,76,50,4,53.24000000000002,2.6
429,sudak,0,100,44,35,63.85100000000009,3.83
430,pirenopolis,40,38,-16,-49,73.4,2.88
431,san matias,20,74,-17,-59,78.52100000000004,0.63
432,tazmalt,20,88,36,4,71.6,1.5
433,novyy svit,8,66,46,36,54.85100000000009,1.53
434,tura,0,89,66,98,30.64100000000001,0.98
435,mitsamiouli,0,100,-10,45,75.10100000000008,3.43
436,sitka,0,46,47,-142,87.07100000000005,7.73
437,doka,8,93,14,36,70.24100000000001,1.28
438,necochea,0,84,-43,-58,51.70100000000009,3.88
439,ranong,40,100,10,96,75.2,2.1
440,cuenca,8,75,40,-2,58.991000000000014,1.23
441,rayevskiy,76,68,54,55,58.54100000000001,2.43
442,tias,0,73,29,-14,77.0,6.2
443,kupang,20,83,-11,122,78.80000000000001,3.1
444,kosh-agach,0,68,51,89,10.121000000000048,1.23
445,turukhansk,0,82,65,90,31.90100000000009,6.38
446,youghal,75,93,52,-8,51.8,4.1
447,salalah,75,88,19,55,77.0,1.5
448,amurzet,0,73,48,131,63.85100000000009,1.68
449,cidreira,56,85,-44,-35,64.48100000000002,5.53
450,kalyazin,0,94,57,38,48.73100000000003,4.13
451,sawakin,56,80,20,38,81.31100000000006,3.93
452,santa cruz,0,78,6,-90,82.4,3.6
453,fort nelson,75,34,63,-121,48.2,1.5
454,meiktila,32,89,21,96,76.54100000000001,3.13
455,brigantine,90,96,37,-71,72.10400000000006,4.6
456,bukoba,36,100,-1,32,65.38100000000003,1.08
457,jaromerice nad rokytnou,0,87,49,16,63.77000000000007,2.6
458,hasaki,75,94,34,150,69.80000000000001,2.1
459,kongolo,32,97,-5,28,67.27100000000004,1.23
460,mogzon,76,82,52,112,34.60100000000009,5.98
461,gizo,64,100,-10,157,83.20100000000009,9.03
462,poum,64,100,-17,161,73.12100000000005,3.13
463,yurga,68,71,56,85,50.62100000000005,7.63
464,tocache,36,83,-8,-76,62.23100000000003,0.48
465,macapa,20,70,1,-51,84.2,5.1
466,rantepao,56,85,-3,120,68.53100000000003,0.63
467,san rafael,0,64,-34,-68,57.821000000000055,3.68
468,lokosovo,92,97,62,75,50.44100000000001,4.88
469,mandali,0,21,34,46,77.26100000000008,2.93
470,kingaroy,0,61,-27,152,70.42100000000005,2.18
471,vanavara,36,90,60,104,36.76100000000007,1.63
472,olovyannaya,92,99,51,116,45.40100000000009,3.03
473,mehndawal,88,99,27,83,72.58100000000003,2.03
474,ongandjera,0,28,-19,15,57.01100000000007,4.58
475,anloga,40,88,2,3,78.80000000000001,3.6
476,port macquarie,40,88,-35,158,62.6,1.5
477,changji,100,99,45,87,72.31100000000006,1.98
478,tamale,44,82,9,-1,78.07100000000005,3.08
479,clyde river,90,100,70,-75,33.8,1.5
480,bilma,0,35,22,15,72.31100000000006,1.58
481,biltine,92,74,15,20,74.47100000000006,4.23
482,gasa,56,76,29,90,23.801000000000087,0.63
483,tres arroyos,0,85,-38,-60,53.41100000000007,3.43
484,boa vista,40,69,4,-64,82.4,2.6
485,copalillo,48,65,18,-99,78.97100000000006,1.08
486,balabac,88,100,8,116,80.59100000000001,9.43
487,iquitos,40,319,-3,-72,42.8,3.1
488,bontang,0,94,0,117,81.941,5.58
489,magomeni,20,94,-5,38,73.4,1.58
490,mto wa mbu,8,99,-3,36,62.50100000000009,2.53
491,butte,90,52,46,-112,53.06000000000009,8.2
492,luganville,92,100,-16,165,75.82100000000005,5.48
493,richards bay,88,97,-32,39,61.87100000000005,1.08
494,mount gambier,0,59,-43,138,62.50100000000009,4.73
495,barentu,0,89,15,38,64.75100000000009,1.23
496,russell,12,71,-31,177,59.71100000000007,3.28
497,huangmei,0,97,31,116,75.191,2.08
498,marfino,0,93,47,49,48.2,1.0
499,mbanza-ngungu,92,99,-5,14,68.53100000000003,1.93
